month,column,effective_missing_n,effective_missing_rate
2010-06,AEZ_12000,0,0.0
2010-06,AEZ_15000,0,0.0
2010-06,AEZ_17000,0,0.0
2010-06,AEZ_19000,0,0.0
2010-06,AEZ_25000,0,0.0
2010-06,AEZ_31000,0,0.0
2010-06,AEZ_32000,0,0.0
2010-06,AEZ_33000,0,0.0
2010-06,AEZ_34000,0,0.0
2010-06,AEZ_36000,0,0.0
2010-06,AEZ_38000,0,0.0
2010-06,AEZ_4000,0,0.0
2010-06,AEZ_40000,0,0.0
2010-06,AEZ_43000,0,0.0
2010-06,AEZ_7000,0,0.0
2010-06,AEZ_9000,0,0.0
2010-06,crop,0,0.0
2010-06,range,0,0.0
2010-06,distance_to_river,0,0.0
2010-06,nightlight,0,0.0
2010-06,nightlight_sd,0,0.0
2010-06,elevation,0,0.0
2010-06,EVI,0,0.0
2010-06,market_distance,0,0.0
2010-06,FAO_price,0,0.0
2010-06,Rainf_f_tavg_mean,0,0.0
2010-06,Tair_f_tavg_mean,0,0.0
2010-06,gpp_mean,0,0.0
2010-06,sg_cec_5-15cm,0,0.0
2010-06,sg_cfvo_5-15cm,0,0.0
2010-06,sg_nitrogen_5-15cm,0,0.0
2010-06,sg_phh2o_5-15cm,0,0.0
2010-06,sg_soc_5-15cm,0,0.0
2010-06,market_access,0,0.0
2010-06,ruggedness,0,0.0
2010-06,slope,0,0.0
2010-06,CPI,0,0.0
2010-06,GDP,0,0.0
2010-06,CC,0,0.0
2010-06,gini,0,0.0
2010-06,WFP_Price,0,0.0
2010-06,WFP_Price_std,0,0.0
2010-06,fews_ipc,1040,1.0
2010-06,fews_ha,1040,1.0
2010-06,fews_proj_near,1040,1.0
2010-06,fews_proj_near_ha,1040,1.0
2010-06,fews_proj_med,1040,1.0
2010-06,fews_proj_med_ha,1040,1.0
2010-06,pop,1040,1.0
2010-06,fews_ipc_adjusted,1040,1.0
2010-06,fews_proj_med_adjusted,1040,1.0
2010-06,ISO3,0,0.0
2010-06,Food_CPI,0,0.0
2010-06,Food_food_inflation,0,0.0
2010-06,Tair_zscore,16,0.015384615384615385
2010-06,Rainf_zscore,16,0.015384615384615385
2010-06,fews_ipc_crisis,1040,1.0
2010-07,unit_name,0,0.0
2010-07,ADMIN0,0,0.0
2010-07,ADMIN1,0,0.0
2010-07,ADMIN2,0,0.0
2010-07,ADMIN3,0,0.0
2010-07,FEWSNET_admin_code,0,0.0
2010-07,ISO,0,0.0
2010-07,lat,0,0.0
2010-07,lon,0,0.0
2010-07,date,0,0.0
2010-07,month,0,0.0
2010-07,distance_to_nearest_acled,0,0.0
2010-07,event_count_battles,0,0.0
2010-07,event_count_explosions,0,0.0
2010-07,event_count_violence,0,0.0
2010-07,sum_fatalities_battles,0,0.0
2010-07,sum_fatalities_explosions,0,0.0
2010-07,sum_fatalities_violence,0,0.0
2010-07,event_count_battles_w5,0,0.0
2010-07,event_count_explosions_w5,0,0.0
2010-07,event_count_violence_w5,0,0.0
2010-07,sum_fatalities_battles_w5,0,0.0
2010-07,sum_fatalities_explosions_w5,0,0.0
2010-07,sum_fatalities_violence_w5,0,0.0
2010-07,event_count_battles_w10,0,0.0
2010-07,event_count_explosions_w10,0,0.0
2010-07,event_count_violence_w10,0,0.0
2010-07,sum_fatalities_battles_w10,0,0.0
2010-07,sum_fatalities_explosions_w10,0,0.0
2010-07,sum_fatalities_violence_w10,0,0.0
2010-07,AEZ_10000,0,0.0
2010-07,AEZ_12000,0,0.0
2010-07,AEZ_15000,0,0.0
2010-07,AEZ_17000,0,0.0
2010-07,AEZ_19000,0,0.0
2010-07,AEZ_25000,0,0.0
2010-07,AEZ_31000,0,0.0
2010-07,AEZ_32000,0,0.0
2010-07,AEZ_33000,0,0.0
2010-07,AEZ_34000,0,0.0
2010-07,AEZ_36000,0,0.0
2010-07,AEZ_38000,0,0.0
2010-07,AEZ_4000,0,0.0
2010-07,AEZ_40000,0,0.0
2010-07,AEZ_43000,0,0.0
2010-07,AEZ_7000,0,0.0
2010-07,AEZ_9000,0,0.0
2010-07,crop,0,0.0
2010-07,range,0,0.0
2010-07,distance_to_river,0,0.0
2010-07,nightlight,0,0.0
2010-07,nightlight_sd,0,0.0
2010-07,elevation,0,0.0
2010-07,EVI,0,0.0
