scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs3,12,12-month horizon,2022-02,food_prices,Food Prices,0.016309945902512522,0.03897022504434012,6,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-02,geographic,Geographic,0.03703873425029884,0.08849862640373929,8,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-02,lag,Lag,0.12341978193892239,0.2948934782390825,6,0.4185232670315645,33,479
fs3,12,12-month horizon,2022-06,weather,Weather,0.03602159565881662,0.08062866456270822,8,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,agri,Agri,0.03372695052296594,0.07549246308231458,24,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,conflict,Conflict,0.07790239313907574,0.1743722289410959,38,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,econ,Econ,0.10086412890853357,0.22576845548998875,16,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,food_prices,Food Prices,0.019845548505973032,0.04442113249803831,6,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,geographic,Geographic,0.03762349974358979,0.08421427438233303,8,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-06,lag,Lag,0.1407750584891629,0.31510278104352113,6,0.4467591749681176,23,489
fs3,12,12-month horizon,2022-10,weather,Weather,0.027816953785785345,0.0647130512980487,8,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,agri,Agri,0.03401474680207172,0.07913152790358492,24,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,conflict,Conflict,0.07558223663358656,0.17583367302389372,38,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,econ,Econ,0.1095761946044761,0.25491683802228493,16,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,food_prices,Food Prices,0.017583250903144266,0.04090547895517924,6,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,geographic,Geographic,0.04039753656374456,0.09398037887600398,8,0.42985075232612485,19,493
fs3,12,12-month horizon,2022-10,lag,Lag,0.1248798330333163,0.29051905192100447,6,0.42985075232612485,19,493
fs3,12,12-month horizon,2023-02,weather,Weather,0.02993949133379789,0.06968696300008924,8,0.4296282983914732,31,481
fs3,12,12-month horizon,2023-02,agri,Agri,0.03417386538497122,0.07954286417565613,24,0.4296282983914732,31,481
