scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs1,4-month horizon,partitioned,0.21261965012652656,0.8897329650092081,0.84,0.7678856116105378
fs1,4-month horizon,partitioned,0.20035207393552645,0.8919911829537105,0.85,0.7678856116105378
fs1,4-month horizon,partitioned,0.18868962482121246,0.8927641853201458,0.86,0.7678856116105378
fs1,4-month horizon,partitioned,0.17713719881175047,0.8934517203107658,0.87,0.7678856116105378
fs1,4-month horizon,partitioned,0.16596985366927056,0.8944559739104655,0.88,0.7678856116105378
fs1,4-month horizon,partitioned,0.1546374738695126,0.8937996820349762,0.89,0.7678856116105378
fs1,4-month horizon,partitioned,0.14479040598525691,0.8989071038251366,0.9,0.7678856116105378
fs1,4-month horizon,partitioned,0.1343932225767411,0.9034763313609467,0.91,0.7678856116105378
fs1,4-month horizon,partitioned,0.12361095830124326,0.912672623883022,0.92,0.7678856116105378
fs1,4-month horizon,partitioned,0.1139289250742656,0.9224944320712695,0.93,0.7678856116105378
fs1,4-month horizon,partitioned,0.10413686874243591,0.9417910447761194,0.94,0.7678856116105378
fs1,4-month horizon,partitioned,0.09384970843877215,0.957351290684624,0.95,0.7678856116105378
fs1,4-month horizon,partitioned,0.07888656617889757,0.9689189189189189,0.96,0.7678856116105378
fs1,4-month horizon,partitioned,0.06463857410056112,0.9816207184628237,0.97,0.7678856116105378
fs1,4-month horizon,partitioned,0.05358125206293322,0.9918533604887984,0.98,0.7678856116105378
fs1,4-month horizon,partitioned,0.04092859500495104,1.0,0.99,0.7678856116105378
fs1,4-month horizon,partitioned,0.022994828914071955,1.0,1.0,0.7678856116105378
fs1,4-month horizon,partitioned,0.0,1.0,,0.7678856116105378
fs2,8-month horizon,pooled,1.0,0.29230249722619756,0.0,0.7260345431968606
fs2,8-month horizon,pooled,1.0,0.29692910813459655,0.01,0.7260345431968606
fs2,8-month horizon,pooled,0.9990648036087578,0.3035991908925258,0.02,0.7260345431968606
fs2,8-month horizon,pooled,0.9982396303223677,0.31213554657263265,0.03,0.7260345431968606
fs2,8-month horizon,pooled,0.9962592144350314,0.321310079307347,0.04,0.7260345431968606
fs2,8-month horizon,pooled,0.994113763890417,0.33018454229855654,0.05,0.7260345431968606
fs2,8-month horizon,pooled,0.9914181978215425,0.33868936873954636,0.06,0.7260345431968606
fs2,8-month horizon,pooled,0.9884475739905381,0.3467320198375176,0.07,0.7260345431968606
fs2,8-month horizon,pooled,0.9847067884255694,0.3548559760521777,0.08,0.7260345431968606
fs2,8-month horizon,pooled,0.9806359335460447,0.363380626223092,0.09,0.7260345431968606
fs2,8-month horizon,pooled,0.97684013642865,0.37249842668344874,0.1,0.7260345431968606
fs2,8-month horizon,pooled,0.9717240620530312,0.38215568344078577,0.11,0.7260345431968606
fs2,8-month horizon,pooled,0.9662229068104302,0.39267589259764357,0.12,0.7260345431968606
fs2,8-month horizon,pooled,0.959181428099901,0.4037700020841535,0.13,0.7260345431968606
fs2,8-month horizon,pooled,0.9526900649136318,0.41489183296998156,0.14,0.7260345431968606
fs2,8-month horizon,pooled,0.9450434591264165,0.42541231241642313,0.15,0.7260345431968606
fs2,8-month horizon,pooled,0.9379469688634613,0.4369554074833419,0.16,0.7260345431968606
fs2,8-month horizon,pooled,0.9292001320277258,0.44800148529294753,0.17,0.7260345431968606
fs2,8-month horizon,pooled,0.9199581912201562,0.4585412667946257,0.18,0.7260345431968606
fs2,8-month horizon,pooled,0.9104411926504566,0.46855978030067097,0.19,0.7260345431968606
fs2,8-month horizon,pooled,0.8998239630322368,0.47880686142497514,0.2,0.7260345431968606
fs2,8-month horizon,pooled,0.889481791176147,0.4895098543792195,0.21,0.7260345431968606
fs2,8-month horizon,pooled,0.8794696886346133,0.4994688827793052,0.22,0.7260345431968606
fs2,8-month horizon,pooled,0.8696776323027836,0.5104452552387717,0.23,0.7260345431968606
fs2,8-month horizon,pooled,0.8563648366156893,0.5192634844391074,0.24,0.7260345431968606
fs2,8-month horizon,pooled,0.8450324568159313,0.529671390641702,0.25,0.7260345431968606
fs2,8-month horizon,pooled,0.8325448344152272,0.5384040698708599,0.26,0.7260345431968606
fs2,8-month horizon,pooled,0.819177027175707,0.547604162836024,0.27,0.7260345431968606
fs2,8-month horizon,pooled,0.8061943008031687,0.5571395985401459,0.28,0.7260345431968606
fs2,8-month horizon,pooled,0.7943118054791506,0.5680620033047447,0.29,0.7260345431968606
fs2,8-month horizon,pooled,0.7811090328969084,0.5789838525526015,0.3,0.7260345431968606
fs2,8-month horizon,pooled,0.767521179447684,0.5907108683686862,0.31,0.7260345431968606
fs2,8-month horizon,pooled,0.7542083837605897,0.6019758507135017,0.32,0.7260345431968606
fs2,8-month horizon,pooled,0.7404554956540873,0.6127651825548575,0.33,0.7260345431968606
fs2,8-month horizon,pooled,0.7274177577291231,0.6226397325422611,0.34,0.7260345431968606
fs2,8-month horizon,pooled,0.7147100891187149,0.6322141119221412,0.35,0.7260345431968606
fs2,8-month horizon,pooled,0.7014523049840466,0.6404962829013462,0.36,0.7260345431968606
fs2,8-month horizon,pooled,0.6882495324018044,0.6492475350285418,0.37,0.7260345431968606
fs2,8-month horizon,pooled,0.6765320717350644,0.6578581363004172,0.38,0.7260345431968606
fs2,8-month horizon,pooled,0.6640444493343602,0.6666482575799415,0.39,0.7260345431968606
fs2,8-month horizon,pooled,0.6527670810870283,0.6754326047358834,0.4,0.7260345431968606
fs2,8-month horizon,pooled,0.6407745626581582,0.6848139220412722,0.41,0.7260345431968606
fs2,8-month horizon,pooled,0.6272967323137859,0.6909234125060592,0.42,0.7260345431968606
fs2,8-month horizon,pooled,0.6153592254373419,0.6985574220945482,0.43,0.7260345431968606
fs2,8-month horizon,pooled,0.6025965452745077,0.7066640861879878,0.44,0.7260345431968606
fs2,8-month horizon,pooled,0.5909891077126197,0.7121644017235664,0.45,0.7260345431968606
fs2,8-month horizon,pooled,0.5791616239410277,0.7195188627665391,0.46,0.7260345431968606
fs2,8-month horizon,pooled,0.5670040708548795,0.726612618963694,0.47,0.7260345431968606
fs2,8-month horizon,pooled,0.5544614369017493,0.7341394129215529,0.48,0.7260345431968606
fs2,8-month horizon,pooled,0.5433491033116955,0.7412939057340138,0.49,0.7260345431968606
fs2,8-month horizon,pooled,0.5319067004070855,0.7489542989930287,0.5,0.7260345431968606
