method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
correction_xgb,3,Eswatini,12,8,5,18,43,0.6486486486486487,0.6,0.7058823529411765
correction_xgb,3,Ethiopia,33,18,11,12,74,0.6947368421052632,0.6470588235294118,0.75
correction_xgb,3,Gambia,0,0,0,32,32,,,
correction_xgb,3,Ghana,14,18,31,202,265,0.36363636363636365,0.4375,0.3111111111111111
correction_xgb,3,Guatemala,18,44,8,167,237,0.4090909090909091,0.2903225806451613,0.6923076923076923
correction_xgb,3,Guinea,0,1,4,106,111,0.0,0.0,0.0
correction_xgb,3,Guinea-Bissau,0,0,0,37,37,,,
correction_xgb,3,Haiti,162,108,11,0,281,0.7313769751693002,0.6,0.9364161849710982
correction_xgb,3,Honduras,21,77,12,39,149,0.32061068702290074,0.21428571428571427,0.6363636363636364
correction_xgb,3,Kenya,32,48,10,160,250,0.5245901639344263,0.4,0.7619047619047619
correction_xgb,3,Lebanon,98,34,28,57,217,0.7596899224806202,0.7424242424242424,0.7777777777777778
correction_xgb,3,Lesotho,16,6,3,15,40,0.7804878048780488,0.7272727272727273,0.8421052631578947
correction_xgb,3,Liberia,0,2,0,26,28,0.0,0.0,
correction_xgb,3,Madagascar,18,56,16,165,255,0.3333333333333333,0.24324324324324326,0.5294117647058824
